round,seed,epsilon_level,mode,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc,epsilon_ihm,epsilon_decomp,epsilon_pheno,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,grad_sim_ihm_decomp,grad_sim_ihm_pheno,grad_sim_decomp_pheno,sigma_decomp,sigma_ihm,sigma_pheno
32,42,0.5,uniform,0.5037740202791634,0.1455437599394226,0.5140052220877493,0.1101696655173686,0.5486992571341148,0.2691647668361087,0.2691647668361087,0.2691647668361087,0.7859527473886981,0.3972600528636874,1.3473791935558403,0.4478634759848815,6.0,,,,1.1588736772537231,0.6308103203773499,0.6685985326766968
33,42,0.5,uniform,0.5081490681781073,0.145218195600181,0.5289961052549786,0.1098206019660764,0.5473526541241521,0.2736459411111949,0.2736459411111949,0.2736459411111949,0.7865046166436641,0.3971197580406239,1.3490223155792105,0.4479922524706245,6.0,,,,1.161814570426941,0.6300999522209167,0.6706975698471069
34,42,0.5,uniform,0.4903327435515525,0.1376179624842226,0.5055712203995653,0.1033515377946978,0.5474471185084057,0.2780720259610778,0.2780720259610778,0.2780720259610778,0.7889000316634449,0.3971981147230973,1.3547051200179554,0.4481335232872109,6.0,,,,1.163517713546753,0.6293325424194336,0.6697723269462585
35,42,0.5,uniform,0.527358210795339,0.1522866647121044,0.4790126571229979,0.0977476181310535,0.5467825284846122,0.2824502517003304,0.2824502517003304,0.2824502517003304,0.7922463427464514,0.3975475764951331,1.3610675329724775,0.4486516845538627,6.0,,,,1.1651935577392578,0.6301091313362122,0.6688249707221985
36,42,0.5,uniform,0.5035182815691528,0.1532669530496424,0.48167639022386,0.101036933602539,0.5403187038588686,0.2867539911960902,0.2867539911960902,0.2867539911960902,0.7879055583581133,0.3972759038600338,1.3487112267048598,0.4491539247431609,6.0,-0.0005541206337511,0.2144928276538849,-0.0003973921702709,1.1605291366577148,0.6303391456604004,0.6698251962661743
37,42,0.5,uniform,0.5293224840142481,0.1490768881185334,0.4596911453360455,0.0968206569873529,0.5423351783828937,0.2910070796204601,0.2910070796204601,0.2910070796204601,0.7846622500877714,0.3970662013802465,1.3460885150984383,0.4473755655070059,5.9,,,,1.161935806274414,0.6296668648719788,0.6700722575187683
38,42,0.5,uniform,0.4703792929949252,0.1271132158702182,0.4955730405728329,0.1100492806192146,0.5434523546878363,0.2952257101226216,0.2952257101226216,0.2952257101226216,0.7848034763960859,0.3970679467031529,1.3461951673291137,0.4474499088968252,6.0,,,,1.1640220880508425,0.6298102736473083,0.6680576205253601
39,42,0.5,uniform,0.4684745810716701,0.1294932818905439,0.4291979209576453,0.0905030185029764,0.5425993928095074,0.2993622149165239,0.2993622149165239,0.2993622149165239,0.7874416513734509,0.3969310888426793,1.3540240234683174,0.4473800791923656,6.0,,,,1.1635249853134155,0.6290677189826965,0.6674206852912903
40,42,0.5,uniform,0.5046320361466258,0.14423236668946,0.4628636754088204,0.1025065488974969,0.5457987659440083,0.3034764771321386,0.3034764771321386,0.3034764771321386,0.7847649319723704,0.3966441619083871,1.3482344561789237,0.4472077939187595,5.9,,,,1.1651886701583862,0.6298730969429016,0.6697404980659485
41,42,0.5,uniform,0.5079487256381805,0.1405649732112807,0.4728560008770894,0.0956153998183054,0.5465999064298198,0.3075249772403548,0.3075249772403548,0.3075249772403548,0.7880412328451482,0.3974692829311154,1.3515150294553766,0.4481301936259957,5.9,-3.116318475804292e-05,-0.6307504177093506,-5.188126124267001e-06,1.1632578372955322,0.6305134296417236,0.6692317724227905
42,42,0.5,uniform,0.5119847323157098,0.1426212390969097,0.4656232071027206,0.0948405839504965,0.5505410598950636,0.3115420262702945,0.3115420262702945,0.3115420262702945,0.7860168567390942,0.3966613422314673,1.349798023700714,0.4477984810239883,5.9,,,,1.1609941720962524,0.6299247741699219,0.6690124869346619
43,42,0.5,uniform,0.5170049581654788,0.1424559260644605,0.4618359693912851,0.0963469319726659,0.5473039849602158,0.3155055049376535,0.3155055049376535,0.3155055049376535,0.7904210790796572,0.397069090708895,1.3595690563256042,0.4480428000724992,5.9,,,,1.1651103496551514,0.631673276424408,0.669087290763855
