source,config,seed,epsilon,delta_m,eta_priv,eta_comm,pcmu,val_ihm_auroc,val_decomp_auroc,val_pheno_macro_auroc
dp_ablations_abl3,embed64_eps5,42,5.0,-0.027953789692386852,0.7876030585002105,,,0.7809310555094614,0.507189152193096,0.5792447636177875
dp_ablations_abl3,embed64_eps5,123,5.0,-0.02563040221811792,0.7928789560668074,,,0.7817274275184848,0.517678033701945,0.5838990607021086
dp_ablations_abl3,embed64_eps5,7,5.0,-0.03695958552720598,0.7665434182943411,,,0.7725841438667693,0.4723056911815266,0.5629398409090546
dp_ablations_abl3,embed64_epsinf,42,inf,0.005206420098833985,0.8580913967870634,,,0.7783411804299076,0.6983382137394343,0.6117261377740794
dp_ablations_abl3,embed64_epsinf,123,inf,0.006908766777480496,0.8605189507452893,,,0.7684473411504411,0.719355892837565,0.6158890145423669
dp_ablations_abl3,embed64_epsinf,7,inf,0.005862950588250533,0.8598338094109942,,,0.7813975495733245,0.6988203999910587,0.6111838164301315
dp_ablations_abl3,embed128_eps1,42,1.0,-0.10048141505469706,0.5895007597427263,,,0.457778538607382,0.4977003015526822,0.546327853898616
dp_ablations_abl3,embed128_eps1,123,1.0,-0.0951459995963647,0.6102109508706178,,,0.534463081992996,0.4402759638136781,0.5313624592999123
dp_ablations_abl3,embed128_eps1,7,1.0,-0.08964008487271086,0.6193680970060594,,,0.508160730529704,0.4967194304028543,0.5507378702471479
dp_ablations_abl3,embed128_eps5,42,5.0,-0.034096113536735785,0.7712272608117025,,,0.761928919633069,0.5018505094888507,0.566841743385972
dp_ablations_abl3,embed128_eps5,123,5.0,-0.0028695505131905628,0.8390046798121353,,,0.7886798551202723,0.6660381214534563,0.5638647998097386
dp_ablations_abl3,embed128_eps5,7,5.0,-0.032286487104463364,0.7757748666882314,,,0.7784669672221278,0.504052812699913,0.5482435316495616
dp_ablations_abl3,embed128_epsinf,42,inf,0.008164793889165457,0.8669056740060683,,,0.7965569405986451,0.6919692039456248,0.6132229648370079
dp_ablations_abl3,embed128_epsinf,123,inf,0.010535538187461425,0.871136893423738,,,0.7897602886931836,0.7132364916000601,0.6172178258313503
